Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism
FLT3,gene,,FLT3,UniProt,P36891,plasma membrane,GO:0005886,T790M EGFR,protein,,,,,plasma membrane,GO:0005886,negative,indirect,resistance,,,lung adenocarcinoma,lung,human
EGFR,protein,,EGFR,UniProt,P00533,cell membrane,GO:0005886,G-CIMP,other,,,fplx,G-CIMP,,GO:0000001,positive,direct,expression,,,epithelial-like,,human
Inhibitor of apoptosis (IAP) proteins,protein,,,UniProt,,cytoplasm,GO:0005829,Death-inducing signaling complexes (DISC),complex,,,UniProt,,cytoplasm,GO:0005829,negative,direct,inhibition,,,,,human
BCL2,protein,,BCL2,UniProt,P10474,mitochondria,GO:0005739,BAX,protein,,BAX,UniProt,Q07817,mitochondria,GO:0005739,negative,direct,binds,,,,,
MAP3K1,protein,,MAP3K1,UniProt,P48736,cytoplasm,GO:0005737,MEK inhibitor,other,,,,selumetinib,cytoplasm,GO:0005737,positive,direct,inhibition,,breast cancer cell lines,epithelial-like,breast,human
HSP90,protein,,HSP90AB1,UniProt,P08238,cytoplasm,GO:0005737,cell viability,other,,,fplx,cell viability,cytoplasm,GO:0005737,positive,indirect,phosphorylation,,"MDA-MB-468, H358, HCT116, LoVo and DLD1",epithelial-like,breast and colon,human
_NFAT_,protein,,NFATC1,UniProt,Q9UQP9,cytosol,GO:0005829,_nucleus_,compartment,,,,,nucleus,GO:0005634,positive,indirect,translocation,,,T-cell,,human
NCI-ALMANAC dataset,dataset,,,NCI,NCI-ALMANAC dataset,,,Bliss independence score,algorithm,,,,,,,positive,indirect,modification,,,,,human
chloroquine,small molecule,inhibitor,,DrugBank,DB01123,cytoplasm,GO:0005737,autophagy,process,,,fplx,autophagy,cytoplasm,GO:0005737,negative,direct,inhibition,,,epithelial-like,,human
Chloroquine,small molecule,,,DrugBank,DB00255,lysosome,GO:0005764,TP53,protein,,TP53,UniProt,P04637,nucleus,GO:0005634,negative,indirect,inhibition,,SC196 and SC274,epithelial-like,lung,mouse
PI3K,protein,,PIK3CA,UniProt,P42336,plasma membrane,GO:0005886,PI3K,protein,,PIK3CA,UniProt,P42336,plasma membrane,GO:0005886,negative,indirect,degradation,,,epithelial-like,,human
Plk1H,protein,,PLK1,UniProt,Q13177,cytoplasm,GO:0005737,Apoptotic Switch,other,,,fplx,,cytoplasm,GO:0005737,negative,direct,inhibition,,,epithelial-like,,human
Caspase 6,protein,,CASP6,UniProt,P42539,cytosol,GO:0005829,Inhibitor of Apoptosis (IAP),process,,,,,cytosol,GO:0005829,positive,direct,activation,,,B-cell,,human
Trail,protein,,,UniProt,P48544,extracellular space,GO:0005615,BIM,protein,,BCL2L11,UniProt,Q92843,cytoplasm,GO:0005737,negative,direct,activation,,,epithelial-like,,human
ERK,protein,,MAPK1,UniProt,P28482,cytoplasm,GO:0005737,Cyclin B,protein,,CCNB1,UniProt,P14635,nucleus,GO:0005634,negative,direct,inhibition,,,epithelial-like,,human
C,protein,,,UniProt,,plasma membrane,GO:0005886,D,protein,,,UniProt,,plasma membrane,GO:0005886,negative,indirect,inhibition,,,B-cell,,human
BRAFi,chemical,inhibitor,,,,plasma membrane,GO:0005886,melanoma cells,other,,,fplx,melanoma cells,plasma membrane,GO:0005886,negative,direct,inhibition,,,epithelial-like,skin,human
Patient,individual,,,,,plasma,GO:0005615,Drug,small molecule,,,PubChem,,plasma,GO:0005615,negative,indirect,pharmacokinetic,plasma,,epithelial-like,,human
BET proteins,protein,,BRD2,UniProt,Q92747,nucleus,GO:0005634,Dormant/drug resistant cells,cell,,,,,nucleus,GO:0005634,positive,direct,binding,,HEK 293T,epithelial-like,kidney,human
Fetal Bovine Serum (FBS),supplement,,,,,extracellular,GO:0005615,Fibroblasts,cell,,,,,cytoplasm,GO:0005829,positive,indirect,nutrient supply,,,fibroblast,,human
ACSL4,enzyme,lipid,ACSL4,HGNC,102,endoplasmic reticulum,GO:0005783,Ferroptosis,process,,,Wikipedia,,cytoplasm,GO:0005737,positive,direct,inhibition,,mouse,neuron,brain,mouse
Aft1,protein,transcription factor,,UniProt,,nucleus,GO:0005634,multiple genes,genes,,,,,nucleus,GO:0005634,positive,indirect,transcriptional regulation,,,yeast,,yeast
Fmp48,protein,,FMP48,UniProt,Q9QZV4,plasma membrane,GO:0005886,downstream biological processes,biological process,,,,,,,positive,indirect,regulation,,,,,
LAT,protein,,LAT,UniProt,Q6ZNM5,plasma membrane,GO:0005886,PLC ?,protein,,PLCG1,UniProt,P19174,plasma membrane,GO:0005886,positive,direct,phosphorylation,,,B-cell,,human
BAD,protein,,BCL2L11,UniProt,Q92977,mitochondria,GO:0005739,A375 cells,cell line,,,,A375,cell,GO:0005623,positive,indirect,activation,,A375,melanoma,,human
inhibitor compound,chemical,,,,,culture medium,,cells,cell,,,,,culture medium,,negative,indirect,inhibition,,,epithelial,,human
Leupeptin,protein,protease inhibitor,LPEP,UniProt,P10619,cytoplasm,GO:0005737,Proteases,enzyme,serine protease,,UniProt,,cytoplasm,GO:0005737,negative,direct,inhibition,,,epithelial,colorectal,human
IID,database,,,IID,IID,,,HiPPIE,database,,,HiPPIE,HiPPIE,,,positive,indirect,data import,,,,,human
MatrixDB,other,,,fplx,MatrixDB,,GO:0005576,PPIs,protein-protein interaction,,,UniProt,,cytoplasm,GO:0005737,positive,direct,,,,epithelial,,human
JNK,protein,MAPK,MAPK8,UniProt,Q05193,cytoplasm,GO:0005829,mTORC1,complex,,,fplx,mTORC1,cytoplasm,GO:0005829,negative,direct,phosphorylation,,,epithelial-like,,human
Inhibitors,small molecule,,,,,cytoplasm,GO:0005829,Viability,cellular process,,,,,cytoplasm,GO:0005829,negative,indirect,inhibition,,,epithelial-like,,human
PageRank centrality,algorithm,,,,,,,transcriptional regulatory dynamics,other,,,fplx,,nucleus,GO:0005634,positive,direct,regulation,,,stem cell,,human
T790M cells,cell,,,UniProt,,,,drug tolerant cells,cell,,,UniProt,,,,negative,direct,death,,PC9,epithelial-like,lung,human
Variable 1,protein,,,UniProt,,plasma membrane,GO:0005886,Variable 2,protein,,,UniProt,,plasma membrane,GO:0005886,positive,indirect,OR operator,,,B-cell,,human
Negative regulators,protein,,,,,cell,GO:0005623,Steady state signaling,other,,,,,cell,GO:0005623,negative,indirect,"post-translational modification, de novo synthesized negative regulators",,,epithelial,,human
highly loaded genes,genes,,,,,,,subcellular localization annotations,other,,,,,,,positive,indirect,regulation,,,,,
mTORC1,protein,mTOR complex 1,MTOR,UniProt,Q9Y4H2,plasma membrane,GO:0005886,PIP3,lipid,"phosphatidylinositol-3, 4, 5-bisphosphate",,fplx,PIP3,plasma membrane,GO:0005886,negative,direct,dephosphorylation,,,epithelial,,human
EGFR,protein,,EGFR,UniProt,P00533,plasma membrane,GO:0005886,ribosome,other,,,,ribosome,cytoplasm,GO:0005737,positive,direct,phosphorylation,,,epithelial-like,,human
Ependymal cell,cell,,,,Ependymal cell,brain,GO:0000044,Neuron,cell,,,,Neuron,brain,GO:0000044,positive,direct,defense,,,epithelial-like,brain,human
Metabolic pathways,biological process,,,GO,GO:0008152,cell,GO:0005623,T-cell regulation,biological process,,,GO,GO:0001775,cell,GO:0005623,positive,indirect,regulation,,,,,
NFAT,transcription factor,nuclear,NFATC1,UniProt,Q14247,nucleus,GO:0005634,LAT,protein,,LAT,UniProt,Q13490,plasma membrane,GO:0005886,positive,indirect,activation,,T-cells,T-cells,lymphoid,human
PDI,protein,,PDIA3,UniProt,P60416,endoplasmic reticulum,GO:0005783,MO,cell,,,,,,,positive,direct,inhibition of adenylate cyclase activity,,,epithelial-like,,human
CDK2,protein,,CDK2,UniProt,P24941,nucleus,GO:0005634,CDKN1A,protein,,CDKN1A,UniProt,P38919,nucleus,GO:0005634,negative,direct,phosphorylation,,,epithelial-like,,human
coordinated responses,other,,,,,,,signaling pathways,other,,,,,,,positive,direct,,,,,,
CXCL,protein,,CXCL1,UniProt,P22362,extracellular region,GO:0005615,Schwann cell,cell,,,,,tissue,GO:0044464,positive,indirect,signaling,,,Schwann cell,tissue,human
Wnt5a,protein,ligand,WNT5A,UniProt,Q9Y5T7,extracellular space,GO:0005615,WNT pathway,pathway,,,fplx,WNT pathway,extracellular space,GO:0005615,positive,direct,ligand-receptor interaction,extracellular space,E14.5 dermal condensate (DC) and epithelial placode cells,dermal condensate and epithelial placode cells,embryonic hair follicle,mouse
Ednrb,receptor,G protein-coupled receptor,EDNRB,UniProt,P35461,plasma membrane,GO:0005886,Dct,protein,,DCT,UniProt,P16381,melanosome,GO:0042470,positive,direct,binding,,,melanocyte,skin,mouse
KIT,protein,,KIT,UniProt,P10721,plasma membrane,GO:0005886,KIT,protein,,KIT,UniProt,P10721,plasma membrane,GO:0005886,positive,direct,,,E14.5,epithelial-like,skin,mouse
VEGFA,protein,,VEGFA,UniProt,P15692,plasma membrane,GO:0005886,KRT14,protein,,KRT14,UniProt,P04264,cytoplasm,GO:0005737,negative,indirect,signaling,,,keratinocyte,skin,human
NKT,cell,T cell,,,,lymphoid tissue,GO:0021797,T cells (TC),cell,,,,,lymphoid tissue,GO:0021797,positive,direct,chemokine signaling,,,fibroblast,skin,human
CD40LG,protein,ligand,CD40LG,UniProt,P18428,plasma membrane,GO:0005886,TC,cell,T cell,,,T cell,plasma membrane,GO:0005886,positive,direct,ligand-receptor binding,plasma membrane,,T cell,skin,human
SingleCellSignalR,method,,,,,,,iTALK,method,,,,,,,positive,indirect,prediction overlap,,,immune cells,,human
Cell,cell,,,,,,,Cell,cell,,,,,,,positive,direct,communication,,,epithelial,skin,human
NFAT,protein,,NFATC1,UniProt,Q14240,nucleus,GO:0005634,TCR,other,,,fplx,TCR,plasma membrane,GO:0005886,positive,indirect,activation,,,T-cell,lymphoid,human
CD1C,protein,,CD1C,UniProt,Q9Y2D9,plasma membrane,GO:0005886,DC,cell,dendritic cell,,fplx,DC,extracellular matrix,GO:0005576,negative,indirect,signaling,,lesional and non-lesional skin,dendritic cell,skin,human
SRC,protein,,SRC,UniProt,P12931,cytoplasm,GO:0005737,GSK3?,protein,,GSK3B,UniProt,Q9Y2I1,cytoplasm,GO:0005737,negative,direct,phosphorylation,,,cancer cell,,human
NFAT,protein,,NFATC1,UniProt,Q14270,nucleus,GO:0005634,TCR / CD3 subunits,other,,,fplx,TCR/CD3,plasma membrane,GO:0005886,positive,indirect,activation,,,T-cell,,human
JQ1,small molecule,,,,JQ1,cytoplasm,GO:0005829,viability,phenotype,,,,viability,,,positive,indirect,regulation,,,epithelial,,human
TSC/mTOR pathway,pathway,,,,,,,proteins,protein,,,,,,,positive,indirect,cross-signaling,,,cancer cell,,human
PARADIGM,method,,,,,,,UCS,tumor type,,,,,,,positive,indirect,comparison,,,,,human
uveal melanoma (UVM),disease,,,,UVM,,,concordance score,other,,,,concordance score,,,positive,indirect,data correlation,,"RPPA, mRNA expression, microRNA expression, DNA methylation",epithelial-like,,human
Temozolomide,drug,chemotherapeutic,,DrugBank,DB01229,extracellular,GO:0005615,glioblastoma cells,other,,,,glioblastoma,brain,GO:0000002,negative,indirect,apoptosis,,,glioblastoma,brain,human
ER,protein,receptor,ESR1,UniProt,P03372,nucleus,GO:0005634,FGFR1,protein,receptor tyrosine kinase,FGFR1,UniProt,P11362,cell surface,GO:0005886,positive,indirect,amplification,,,epithelial,breast,human
FGFR4,protein,,FGFR4,UniProt,Q15365,cell membrane,GO:0005886,cholangiocarcinoma,other,,,,,,,positive,indirect,amplification,,rhabdomyosarcoma,muscle cell,skeletal muscle,human
FGFR3,protein,,FGFR3,UniProt,P22607,plasma membrane,GO:0005886,bladder cancer,other,,,,bladder cancer,,,negative,indirect,mutation,,,epithelial,bladder,human
Blood vessel growth factor,protein,,,UniProt,,extracellular matrix,GO:0005615,Blood vessel,other,,,,,extracellular matrix,GO:0005615,positive,direct,binds,,,tumour,,human
sorafenib,drug,,,,,,,OS (overall survival),other,,,,,,,negative,indirect,comparison,,,,,human
DAB1,protein,,DAB1,UniProt,Q9Y6B1,cytoplasm,GO:0005737,neurons,cell,,,fplx,neurons,,,positive,indirect,signaling,,,neuronal-like,brain,human
p300,protein,transcription factor,EP300,UniProt,P52208,nucleus,GO:0005634,p300,protein,transcription factor,EP300,UniProt,P52208,nucleus,GO:0005634,negative,indirect,phosphorylation,,,epithelial-like,brain,human
miR-33a,miRNA,,,miRBase,MIMAT0000250,cytoplasm,GO:0005737,NFAT,protein,,NFATC1,UniProt,Q16552,nucleus,GO:0005634,negative,direct,binds,,HEK 293T,epithelial-like,kidney,human
STAT3,protein,transcription factor,STAT3,UniProt,P40763,nucleus,GO:0005634,cell survival,process,,,fplx,cell survival,plasma membrane,GO:0005886,positive,indirect,regulation,,,Glioblastoma,brain,human
CDK1,protein,,CDK1,UniProt,P06493,cytoplasm,GO:0005829,p38,protein,,MAPK14,UniProt,O15264,cytoplasm,GO:0005829,negative,direct,dephosphorylation,,,epithelial,,human
hydrophobic residues,amino acid,hydrophobic,,UniProt,,cytosol,GO:0005829,kinases,protein,,,UniProt,,cytosol,GO:0005829,negative,indirect,electrostatic filtering,motif,,epithelial-like,,human
CDK18,protein,kinase,CDK18,UniProt,Q9Y6Q6,cytoplasm,GO:0005737,PINK1,protein,,,UniProt,Q9P2H2,mitochondria,GO:0005739,positive,direct,phosphorylation,,,,,human
kinases,protein,,,UniProt,,cytoplasm,GO:0005737,phosphorylation sites,other,,,,,cytoplasm,GO:0005737,positive,direct,phosphorylation,serine/threonine,,epithelial,,human
RAF,protein,,RAF1,UniProt,P04049,cytoplasm,GO:0005829,NF?B,protein,,NFKB1,UniProt,P19838,cytoplasm,GO:0005829,positive,direct,phosphorylation,,mtKRASHi and mtKRASLo,epithelial-like,,mammalian
PRKA,protein,,PRKAR1A,UniProt,P10644,cytoplasm,GO:0005737,EGFR,protein,,EGFR,UniProt,P00533,plasma membrane,GO:0005886,negative,direct,inhibition,,mtKRASHi and mtKRASLo,epithelial-like,,human
Dabrafenib,drug,,,DrugBank,DB08868,plasma,GO:0005737,BRAF L514V,mutation,,,,,plasma membrane,GO:0005886,negative,indirect,mutation,,,B-cell,brain,human
LAT,protein,,,,,cell,GO:0005623,PLC ?,enzyme,,,,,cell,GO:0005623,positive,direct,phosphorylation,,,T cell,,human
PDEs,model,bio-mechanical,,,,,,Breast cancer cells,cell,epithelial,,fplx,,tumor,GO:0005615,positive,indirect,regulation,,,epithelial,breast,mouse
Pyrazinamide,drug,,,DrugBank,DB01105,extracellular,GO:0005615,Mycobacterium tuberculosis,bacterium,,,UniProt,P0DJI4,intracellular,GO:0005737,negative,direct,inhibition,,,immune cells,lung,human
sutezolid,drug,antibiotic,,,,plasma membrane,GO:0005886,RMM outcomes,other,,,,,,,positive,indirect,response,,,epithelial-like,,human
drug combination,drug,,,,,extracellular,GO:0005615,RMM outcome,other,,,,,,,positive,direct,response,lipid environment,,immune cells,lung,mouse
Hill function,equation,,,,Hill function,,,drug,compound,,,,drug,cytoplasm,GO:0005737,negative,direct,inhibition,,,epithelial-like,,human
Drug,small molecule,,,,,cytoplasm,GO:0005829,Cell growth rate,process,,,,,cytoplasm,GO:0005829,negative,indirect,inhibition,,,epithelial-like,,human
Shc1,protein,,SHC1,UniProt,Q13062,cytoplasm,GO:0005737,Cluster 2 and 3 proteins,protein,,,,,cytoplasm,GO:0005737,positive,direct,phosphorylation,Ser335,MEFs,fibroblast,,human
epithelial to mesenchymal transition,process,,,,epithelial to mesenchymal transition,epithelial cells,GO:0002105,epithelial cells,cell,,,,epithelial cells,epithelial cells,GO:0002105,positive,indirect,signaling,plasma membrane,human,epithelial-like,epithelial,human
Boolean functions,other,,,,,,,network components,other,,,,,,,positive,indirect,Boolean inference,,,,,human
ZAP-70,protein,,ZAP70,UniProt,Q06190,plasma membrane,GO:0005886,PLC ?,protein,,PLCG1,UniProt,P06493,plasma membrane,GO:0005886,positive,indirect,phosphorylation,,,T-cell,,human
Regulator,protein,,,UniProt,,,,Target,biomolecule,,,,,,,positive,indirect,constitutive activity,,,,,
D,protein,,,UniProt,,,,T,other,,,fplx,T,,,negative,direct,phosphorylation,,,,,human
M,protein,mediator,,UniProt,,,GO:0005576,T,protein,,,UniProt,,,GO:0005576,positive,direct,regulation,,,,,
proteins,biological macromolecule,,,UniProt,P0AET7,cell,GO:0005623,logical modeling,modeling,,,,,,GO:0005575,positive,indirect,,,,,,
Chaouiya et al.,study,,,fplx,Chaouiya et al.,,GO:0005623,Boolean regulatory model,model,,,fplx,Boolean regulatory model,nucleus,GO:0005634,positive,indirect,derivation,,,epithelial-like,,human
SHP2,protein,,PTPN11,UniProt,Q15108,plasma membrane,GO:0005886,IR,protein,receptor,INSR,UniProt,P06213,plasma membrane,GO:0005886,positive,indirect,drives,,SHP2-negative cells,epithelial-like,,human
IL17,cytokine,interleukin 17,IL17,UniProt,P60568,immune cells,GO:0000000,Biomaterials,other,,,,Biomaterials,extracellular matrix,GO:0005576,positive,indirect,transcription factor activation,nucleus,murine muscle,fibroblast,muscle,mouse
Biomaterials,other,,,,,extracellular,GO:0005576,Fibroblasts,cell,,,,,extracellular,GO:0005576,positive,indirect,vascularization promotion,extracellular,,endothelial cell,,human
ECM,other,,,fplx,ECM,plasma membrane,GO:0005886,PCL,other,,,fplx,PCL,plasma membrane,GO:0005886,positive,indirect,regulation,,"myeloid (CD45+CD11b+), T cells (CD45+CD3+)","myeloid, T cells",,human
Regulatory T-cells,other,,,fplx,Regulatory T-cells,tumor microenvironment,GO:0031090,IFN-?,protein,,IFNG,UniProt,P01579,tumor microenvironment,GO:0031090,positive,direct,activation,,,T-cell,breast,human
Helper T-cells,cell,immune,T cells,,helper T-cells,lymphoid tissue,GO:0031090,Cancer cells,cell,cancer,,,Cancer cells,,,positive,indirect,,,,immune,,human
RAGE,protein,,AGER,UniProt,P29329,plasma membrane,GO:0005886,ERK2,protein,,MAPK1,UniProt,P28482,cytoplasm,GO:0005737,positive,indirect,phosphorylation,,,epithelial-like,,human
STRING,database,,,UniProt,,,,escore,score,,,,,,,positive,indirect,extracting,escore,,,,
3CLpro,protein,protease,,UniProt,Q9BXM5,,,HIV-1 protease,protein,protease,,CHEMBL,CHEMBL4296312,,,positive,direct,,,,T-cell,,human
